string,int,int,int,,,string,,,,,string,string,string,float,float,float,,,int,float,float,float,float,int,int,int,int,int,int,int,int[3],int[3],int,int,,int,float,int,int;int,rate;rate,,,,rate,,,,,int,int,int,int,int,int,int,rate,int,rate,int,,int,,,,,,,,,,,,,,,bool,,
镇魂石,11006,78,2,,,task/npc/fuhuo_05.html,,"-2725,4805,236;",铁峰岭,功能,,,,0,0,0,0,0,1101,100,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n078,pic_n078_b,0,,,1,0,,
刘三刀【武器铺】,11007,23,2,,1;6,task/npc/task_n11007.html,,"-3225,4850,168;",铁峰岭,补给,1;21;41;61;81;101;121;141;2;22;42;62;82;102;122;142;3;23;43;63;83;103;123;143;7501;7502;7503;5340,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pic_n023,pic_n023_b,0,,,1,0,,
小月,11012,75,2,,,task/npc/task_n11012.html,,"790,1470,177;",镜花村,其他,,,,0,0,0,0,0,0,0,0,0,0,1,100,100,10,10,10,10,"0,0,0","0,0,0,",100,,0,100,,1,,,,,,,,,,,,,,,,,,,,,10000,10000,,,,,,,,,,pic_n075,pic_n075_b,0,,,1,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月云兔,300,300,1,0,,,,"1935,2540,126;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,1,330,81,20,14,20,32,"0,0,0","20,20,20,",20,0,0,2,0.4,1,81;101;121;141;1;21;41;61;6042;6043;7501;7601;7801;7701;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;10201;11201;11202;11203;11204;11205;11001,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.02;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.002;0.002,0,2,1,0.4,0.05,0,1001,0.05,,,7201,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon001,,0,,,0,0,Bip01 R Calf,linghun
墨兔,301,601,1,0,,,,"3690,1640,125;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,2,390,91,22,16,23,36,"0,0,0","22,22,22,",25,0,0,2,0.4,2,2001;2021;2041;2061;2201;2221;2241;2261;2401;2421;2441;2461;2601;2621;2641;2661;6042;6043;7501;7601;7801;7701;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;11201;11202;11203;11204;11205;11001,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,1002,0.05,,,7201,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon001,,1,,,0,0,Bip01 R Calf,linghun
赤红竹藤精,302,301,1,0,,,,"5255,2030,126;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,3,450,101,25,17,25,40,"0,0,0","24,24,24,",31,0,0,2,0.4,3,81;101;121;141;1;21;41;61;6042;6043;7501;7601;7801;7701;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;10201;11201;11202;11203;11204;11205;11001;,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,1003,0.05,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon002,,0,,,0,0,Bip01 Footsteps,linghun
翠绿竹藤精,303,602,1,0,,,,"5745,2085,126;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,4,525,112,27,19,28,44,"0,0,0","26,26,26,",37,0,0,2,0.4,4,2001;2021;2041;2061;2201;2221;2241;2261;2401;2421;2441;2461;2601;2621;2641;2661;6042;6043;7501;7601;7801;7701;8101;8104;740110001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;11201;11202;11203;11204;11205;11001,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002,0,2,1,0.4,0.05,0,1003,0.05,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon002,,3,,,0,0,Bip01 Footsteps,linghun
朱红竹藤精,304,603,1,0,,,,"6480,2020,126;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,5,660,123,29,21,31,49,"0,0,0","28,28,28,",44,0,0,2,0.4,5,81;101;121;141;1;21;41;61;82;102;122;142;2;22;42;62;6042;6043;7502;7602;7802;7702;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;10201;11201;11202;11203;11204;11205;11001,"0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.05;0.05;0.1;0.05;0.01;0.02;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.002,0.01",0,2,1,0.4,0.05,0,1003,0.05,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon002,,0,,,0,0,Bip01 Footsteps,linghun
飞廉幼仔,305,800,1,0,,,,"2815,2680,61;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,6,735,134,32,24,34,54,"0,0,0","30,30,30,",51,0,0,2,0.4,6,2001;2021;2041;2061;2201;2221;2241;2261;2401;2421;2441;2461;2601;2621;2641;2661;2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;6042;6043;7502;7602;7802;7702;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;11201;11202;11203;11204;11205;11001,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,,,,,7201,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon500d,,0,,,0,0,Bone01,linghun
刀匪,306,611,1,0,,,,"4075,2960,63;",镜花村,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,7,840,145,34,26,37,59,"0,0,0","32,32,32,",59,0,0,2,0.4,7,81;101;121;141;1;21;41;61;82;102;122;142;2;22;42;62;6042;6043;5219;7502;7602;7802;7702;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;10201;11201;11202;11203;11204;11205;11001,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;.005;0.005;0.005;0.005;0.02;0.02;0.075;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,,,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon057,,6,,,0,0,Bone01,linghun
幼年飞廉,307,801,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,8,930,157,37,28,40,64,"0,0,0","34,34,34,",67,0,0,2,0.4,8,2001;2021;2041;2061;2201;2221;2241;2261;2401;2421;2441;2461;2601;2621;2641;2661;2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;6042;6043;7502;7602;7802;7702;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;11201;11202;11203;11204;11205;11001,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,,,,,7201,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon500c,,0,,,0,0,Bone01,linghun
嗜血魁猪,308,321,1,0,,,,"335,4445,254;",铁峰岭,怪物,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,9,1035,169,39,30,43,69,"0,0,0","36,36,36,",76,0,0,2,0.4,9,81;101;121;141;1;21;41;61;82;102;122;142;2;22;42;62;6042;6043;7502;7602;7802;7702;8101;8104;7401;10001;10021;10041;10061;10081;10101;10121;10141;10201;10221;10241;10261;10401;10421;10441;10461;10601;10621;10641;10661;10801;10821;10841;10861;10201;11201;11202;11203;11204;11205;11001,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0012;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.002;0.002;0.002;0.002;0.002;0.002;0.01,0,2,1,0.4,0.05,0,1004,0.05,11101;11109;11110,,7201,18,3,5091;5097;5098,5;5;1,1;0.5;0.2,,,,,monster,3,,,,,20,,0,pic_mon021,,0,,,0,0,Bip01 Spine1,linghun
血灵巨魁猪,309,322,1,0,,,,"-935,5305,62;",铁峰岭,怪物,,,NpcNormal,160,150,525,100,0,0,0,40,40,0.75,10,1245,182,42,33,46,74,"0,0,0","38,38,38,",85,0,0,2,0.4,10,82;102;122;142;2;22;42;62;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1004,0.05,11101;11109;11110,,7202,18,3,5092;5097;5098,5;5;1,1;0.5;0.2,,,,,monster,3,,,,,20,,0,pic_mon021,,0,,,0,0,Bip01 Spine1,linghun
应声虫,310,327,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,11,1365,195,45,35,49,80,"0,0,0","40,40,40,",95,0,0,2,0.4,11,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1005,0.05,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon027,,0,,,0,0,Bone01,linghun
炽烈玄蜂,311,335,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,12,1500,208,48,38,53,86,"0,0,0","42,42,42,",105,0,0,2,0.4,12,82;102;122;142;2;22;42;62;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1006,0.03,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon035,,0,,,0,0,Bone01,linghun
朱红玄蜂,312,606,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,13,1635,221,50,41,56,92,"0,0,0","44,44,44,",116,0,0,2,0.4,13,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1006,0.03,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon035,,0,,,0,0,Bone01,linghun
翠翼玄蜂,313,607,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,14,1770,235,53,43,60,98,"0,0,0","46,46,46,",127,0,0,2,0.4,14,82;102;122;142;2;22;42;62;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1006,0.03,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon035,,0,,,0,0,Bone01,linghun
顽石精,314,362,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,15,2070,249,56,46,63,104,"0,0,0","48,48,48,",139,0,0,2,0.4,15,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1007,0.03,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon062,,0,,,0,0,Bip01 Spine,linghun
黄玉顽石精,315,616,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,16,2235,264,59,49,67,111,"0,0,0","50,50,50,",151,0,0,2,0.4,16,82;102;122;142;2;22;42;62;83;103;123;143;3;23;43;63;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1007,0.03,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon062,,0,,,0,0,Bip01 Spine,linghun
红岩顽石精,316,617,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,17,2415,278,62,52,71,118,"0,0,0","52,52,52,",164,0,0,2,0.4,17,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;2003;2023;2043;2063;2203;2223;2243;2263;2403;2423;2443;2463;2603;2623;2643;2663;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1007,0.03,,,,18,,,,,,,,,monster,3,,,,,20,,0,pic_mon062,,0,,,0,0,Bip01 Spine,linghun
玄黄貌牛,317,448,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,18,2595,293,65,55,75,125,"0,0,0","54,54,54,",177,0,0,2,0.4,18,82;102;122;142;2;22;42;62;83;103;123;143;3;23;43;63;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1008,0.02,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon148,,0,,,0,0,Bip01 Spine1,linghun
怒吼貌牛,318,616,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,40,0.75,19,2775,309,68,58,79,132,"0,0,0","56,56,56,",191,0,0,2,0.4,19,2002;2022;2042;2062;2202;2222;2242;2262;2402;2422;2442;2462;2602;2622;2642;2662;2003;2023;2043;2063;2203;2223;2243;2263;2403;2423;2443;2463;2603;2623;2643;2663;6042;6043;7504;7604;7804;7704;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.0025;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,1008,0.02,,,7202,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon148,,0,,,0,0,Bip01 Spine1,linghun
翠莹貌牛,319,617,1,0,,,,,,,,,NpcNormal,160,0,525,100,0,0,0,40,50,0.75,20,3195,324,71,61,83,139,"0,0,0","58,58,58,",205,0,0,4,0.4,20,83;103;123;143;3;23;43;63;6042;6043;7505;7605;7805;7705;8101;8104;7401;10003;10023;10043;10063;10083;10103;10123;10143;10203;10223;10243;10263;10403;10423;10443;10463;10603;10623;10643;10663;10803;10823;10843;10863;11211;11212;11213;11214;11215;11003,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.02;0.02;0.05;0.02;0.005;0.01;0.01;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0006;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.0003;0.001;0.001;0.001;0.001;0.001;0.005,0,2,1,0.2,0.02,0,1008,0.02,,,7203,18,3,,,,,,,,monster,3,,,,,20,,0,pic_mon148,,0,,,0,0,Bip01 Spine1,linghun
月云兔王,320,701,1,0,,,,,,,,,NpcNormal,160,150,525,100,0,0,0,40,40,0.75,3,1140,101,50,32,56,92,"0,0,0","44,44,44,",31,0,0,2,0.4,3,2002;2022;2042;2062;2202;2222;2242;2262;2222;2422;2442;2462;2602;2622;2642;2662;6042;6043;7503;7603;7803;7703;8101;8104;7401;10002;10022;10042;10062;10082;10102;10122;10142;10202;10222;10242;10262;10402;10422;10442;10462;10602;10622;10642;10662;10802;10822;10842;10862;11206;11207;11208;11209;11210;11002,0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.0125;0.02;0.02;0.05;0.05;0.1;0.05;0.005;0.01;0.01;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0009;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0004;0.0015;0.0015;0.0015;0.0015;0.0015;0.007,0,2,1,0.4,0.02,0,,,11020;11040,,7201,18,3,5089;5211,1;1,1;1,,,,,monster,3,,,,,60,,1,pic_mon001,,2,,,0,0,Bip01 R Calf,linghun
