WORD,int,char[20],BYTE,BYTE,RtString,char[50],struct,char[20],char[20],BYTE,DWORD,BYTE,WORD,struct,BYTE,BYTE,struct,int,int,struct,struct,bool
227,227,毒魂丹,1,0,毒防御增加20%。,pic_skill_ts_14,,,,0,3,,,PoisonArR+0.2,1,1,,1,1800000,,,1
228,228,火灵丹,1,0,火伤增加15%。,pic_skill_ts_13,,,,0,3,,,FireDmR+0.15,1,1,,1,1800000,,,1
229,229,水灵丹,1,0,水伤增加15%。,pic_skill_ts_13,,,,0,3,,,WaterDmR+0.15,1,1,,1,1800000,,,1
230,230,毒灵丹,1,0,毒伤增加15%。,pic_skill_hjh_06,,,,0,3,,,PoisonDmR+0.15,1,1,,1,1800000,,,1
231,231,风神,1,0,移动速度增加80%。,pic_skill_fb_11,,,,0,3,,,SpeedMoveR+0.8,1,1,,1,30000,,,1
232,232,战神,1,0,物理伤、火伤、水伤、毒伤增加10%。,pic_skill_ts_18,,,,0,3,,,DamageMaxR+0.1;DamageMinR+0.1;FireDmR+0.1;WaterDmR+0.1;PoisonDmR+0.1,1,1,,1,1800000,,,1
233,233,金刚,1,0,伤害吸收增加30%。,pic_skill_hjl_05,,,,0,3,,,PhyAbR+0.3;FireAbR+0.3;WaterAbR+0.3;PoisonAbR+0.3,1,1,,1,1800000,,,1
234,234,暗影,1,0,遁地10秒。,pic_skill_hjl_04,,,,0,3,,,SpeedMoveR+0.15;StateUseSkill 1;Hiding+2,1,1,,1,10000,,,1
235,235,癫狂,1,0,"技能暴击增加30%,生命上限-0.2。",pic_skill_ts_20,,,,0,3,,,SkillCriRate+1;MaxHPR-0.2,1,1,,1,120000,,,1
236,236,无敌金身,1,0,无敌。,pic_skill_ts_14,,,,0,3,,,StateDodge 1,1,1,,1,15000,,,1
237,237,固本培元,1,0,生命上限增加50%。,pic_skill_ts_15,,,,0,3,,,MaxHPR+0.5,1,1,,1,1800000,,,1
238,238,百窍升神,1,0,吸血能力提高8%。,pic_skill_ts_02,,,,0,3,,,AbsorbHP+100,1,1,,1,120000,,,1
239,239,天神,1,0,未知,,,,,0,3,,,SkillCriRate+1,1,1,,1,1800000,,,1
240,240,天魔,1,0,未知,,,,,0,3,,,SkillCriDamage+100,1,1,,1,1800000,,,1
241,241,狼啸,1,0,增加攻击,skill83,,,,0,3,,,,0,1,,1,1800000,,,1
301,301,法力凋零,1,0,中毒减少法力,pic_skill_hjl_14,,,,0,3,,,,2,,,5,3000,MPR-0.05,,1
302,302,生命凋零,1,0,中毒减少生命,pic_skill_mjz_22,,,,0,3,,,,2,,,5,3000,HPR-0.05,,1
303,303,雷劈定身,1,0,无法移动和攻击,pic_skill_dbf_06,,,,0,3,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,,,1,5000,,,1
304,304,心灵的创伤,1,0,掉血50%,pic_skill_mjz_22,,,,0,3,,,,2,,,1,3000,HPR-0.5,,1
401,401,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,,,0,3,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,,,1,3000,,,1
402,402,撕心,1,0,持续掉血6秒，心灵的创伤会在持续掉血结束后爆发,skill06,,,,0,3,,,,2,,,8,1000,HPR-0.02,AddEff 304,1
403,403,狼嚎（小怪）,1,0,"30秒内物理伤害增加20%,火伤害增加20，物防御减少50%",skill06,,,,0,3,,,DamageMaxR+0.2;DamageMinR+0.2;PhyArR-0.5;FireDm+20,2,1,,1,30000,,,1
404,404,狼嚎（大怪）,1,0,"10秒内,移动速度降低50%",pic_skill_dbf_03,,,,0,11,,,SpeedMoveR-0.50,2,1,,1,10000,,,1
405,405,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 406,,1
406,406,回血,1,0,持续恢复生命+4/秒,,,eff_ss01_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
407,407,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 408,,1
408,408,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
409,409,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 410,,1
410,410,回血,1,0,持续恢复生命+4/秒,,,eff_ss02_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
411,411,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 412,,1
412,412,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
413,413,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 414,,1
414,414,回血,1,0,持续恢复生命+4/秒,,,eff_hj02_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
415,415,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 416,,1
416,416,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
417,417,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 418,,1
418,418,回血,1,0,持续恢复生命+4/秒,,,eff_hj01_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
419,419,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 420,,1
420,420,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
421,421,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 406,,1
422,422,回血,1,0,持续恢复生命+4/秒,,,eff_ss01_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
423,423,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 408,,1
424,424,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
425,425,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 410,,1
426,426,回血,1,0,持续恢复生命+4/秒,,,eff_ss02_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
427,427,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 412,,1
428,428,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
429,429,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 414,,1
430,430,回血,1,0,持续恢复生命+4/秒,,,eff_hj02_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
431,431,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 416,,1
432,432,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
433,433,回血,1,0,持续恢复生命+4/秒,pic_skill_ts_02,,,,0,0,,100,,0,,,0,2000,AddEff 418,,1
434,434,回血,1,0,持续恢复生命+4/秒,,,eff_hj01_01.act,root,0,,,,,0,1,,1,3000,HP 12 0,,1
435,435,回魔,1,0,持续恢复法力+6/秒,pic_skill_ts_04,,,,0,0,,100,,0,,,0,2000,AddEff 420,,1
436,436,回魔,1,0,持续恢复法力+6/秒,,,,,0,,,,,0,1,,1,3000,MP+18,,1
437,25,流血,1,,流血200/2秒,pic_skill_dbf_11,,skill_debuf12,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+200,,1
438,13,眩晕,1,,眩晕5秒,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,0,,1,5000,,,1
439,16,迟钝,1,,移动速度-40%，攻击速度-40%,pic_skill_dbf_12,,skill_debuf6,root,0,11,,,SpeedMoveR-0.40;SpeedAttackR-0.40,2,0,,1,10000,,,1
440,26,弱化,1,,物理攻击-30%，元素攻击-30%,pic_skill_dbf_19,,skill_debuf13,Bone99,0,11,,,DamageMaxR-0.3;DamageMinR-0.3;WaterDmR-0.3;FireDmR-0.3;PoisonDmR-0.3;,2,0,,1,10000,,,1
441,27,破甲,1,,物理防御-50%，毒防御-50%,pic_skill_dbf_13,,skill_debuf10,Bone99,0,11,,,PhyArR-0.50;PoisonArR-0.50;,2,0,,1,10000,,,1
442,19,中毒,1,,中毒200/2秒,pic_skill_fb_10,,skill_debuf9,Bone100,0,11,,,,2,0,,5,2000,DeBufPoison+200,,1
443,443,水伤加倍,1,,受水伤害加倍,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,ReceiveDamageSkillR+2.0;WaterArR-0.5,2,0,,1,20000,,,1
444,444,猛男威慑,1,,生命-2%/秒,pic_skill_mjz_22,,skill_debuf9,Bone100,0,11,,,,2,0,,20,1000,AddCutMaxHP-0.02,,1
445,445,猛男恐吓,1,,生命-90%,pic_skill_dbf_08,,,,0,11,,,,2,0,,1,1000,AddCutMaxHP-0.9,,1
446,446,修罗毒环,1,,靠近自己的队友每秒减少生命5%,pic_skill_mjz_02,,ewar_009,root,3,16,,100,,2,0,,10,1000,AddEff 447,,1
447,447,修罗毒,1,,每秒减少生命5%,pic_skill_mjz_22,,skill_debuf9,Bone100,0,,,,,2,0,,1,1000,AddCutMaxHP-0.05,,1
448,448,蛛丝束缚,1,,移动速度-50%,pic_skill_dbf_05,,skill_debuf3,root,0,11,,,SpeedMoveR-0.50,2,1,,1,5000,,AddEff 449,1
449,449,定身,1,,无法移动,pic_skill_dbf_06,,skill_debuf2,root,0,11,,,StateMove 1,2,1,,1,5000,,,1
450,450,吸血风暴,1,,攻击伤害的50%转化为生命,pic_skill_wtf_20,,skill_buf23,root,0,3,,,AbsorbHP+50,1,1,,1,60000,,,1
451,451,苟延残喘,1,,受击伤害的100%转化为生命,pic_skill_wtc_21,,skill_ty_04,root,0,3,,,AbsorptionHpR+100,1,1,,1,10000,,,1
452,452,法力衰减,1,,每秒生命增加1%、法力减少5%，持续30分钟,pic_skill_hjl_14,,skill_buf1,root,0,11,,,,1,1,,1800,1000,AddCutMaxHP+0.01;AddCutMaxMP-0.05;,,1
453,453,生命衰减,1,,每秒生命减少5%、法力增加1%，持续10分钟,pic_skill_hjl_12,,skill_debuf9,Bone100,0,11,,,,0,1,,600,1000,AddCutMaxHP-0.05;AddCutMaxMP+0.01;,,1
501,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,2000,,,1
502,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;,2,1,,1,3000,,,1
503,503,缓速,1,0,降低移动速度40%,pic_skill_dbf_04,,skill_debuf3,root,0,11,,,SpeedMoveR-0.4,2,1,,1,10000,,,1
504,504,狂热,1,0,攻击速度增加50%,pic_skill_fb_12,,ts1,root,0,0,,,SpeedAttackR+0.5,1,1,,1,10000,,,1
505,505,碎体,1,0,降低50%防御,pic_skill_dbf_17,,skill_debuf3,root,0,11,,,PhyArR-0.5,2,1,,1,10000,,,1
506,506,生命凋零,1,0,生命减少1%/秒,pic_skill_mjz_22,,skill_debuf9,Bip01,0,11,,,,2,1,,5,1000,HPR-0.01,,1
507,507,虚弱,1,0,"降低移动速度20%,攻击速度20%",pic_skill_dbf_12,,skill_debuf6,root,0,11,,,SpeedMoveR-0.2;SpeedAttackR-0.2,2,1,,1,10000,,,1
508,508,障目,1,0,降低命中50%,pic_skill_dbf_07,,skill_debuf4,Bone99,0,11,,,AttackRateR-0.5,2,1,,1,10000,,,1
509,509,迟钝,1,0,降低攻击速度40%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.4,2,1,,1,10000,,,1
510,510,笨拙,1,0,降低躲避50%,pic_skill_hjh_16,,,,0,11,,,DodgeR-0.5,2,1,,1,10000,,,1
511,511,禁魔,1,0,无法使用技能5秒,pic_skill_mjz_04,,skill_debuf7,,0,11,,,StateUseSkill 1,2,1,,1,5000,,,1
512,512,生命凋零,1,0,生命减少1%/2秒,pic_skill_mjz_22,,skill_debuf9,Bip01,0,11,,,,2,1,,5,2000,HPR-0.01,,1
513,513,迟缓,1,0,降低攻击速度30%,pic_skill_dbf_03,,skill_debuf6,root,0,11,,,SpeedAttackR-0.3,2,1,,1,10000,,,1
514,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;Hate+1000,2,1,,1,20000,,,1
515,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;Hate+2000,2,1,,1,20000,,,1
516,13,眩晕,1,0,无法移动和攻击,pic_skill_dbf_06,,skill_debuf5,Bone99,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;Hate+10000,2,1,,1,40000,,,1
517,5,冻结,1,0,无法移动和攻击,pic_skill_dbf_02,,skill_debuf0,root,0,11,,,StateMove 1;StateDodge 1;StateUseSkill 1;StateNAttack 1;Hate+10000,2,1,,1,30000,,,1
518,518,生命衰竭,1,0,生命上限降低20%,pic_skill_dbf_22,,,,0,11,,,MaxHPR-0.2,2,1,,1,15000,,,1
519,519,弱火,1,0,火防降低-30%,pic_skill_dbf_18,,,,0,11,,,FireArR-0.3,2,1,,1,15000,,,1
520,520,弱水,1,0,水防降低-30%,pic_skill_dbf_19,,skill_debuf1,Bone99,0,11,,,WaterArR-0.3,2,1,,1,15000,,,1
521,521,弱毒,1,0,毒防降低-30%,pic_skill_dbf_20,,skill_debuf14,Bone99,0,11,,,PoisonArR-0.3,2,1,,1,15000,,,1
522,522,火种,1,0,火种灭后会带来巨大火伤,pic_skill_dbf_01,,,,0,11,,,,2,1,,1,30000,,AddEff 523,1
523,523,火种,1,0,当前生命减少4%/秒,pic_skill_dbf_09,,skill_debuf8,Bone100,0,11,,,,2,1,,5,1000,HPR-0.04,,1
524,522,火种,1,0,火种灭后会带来巨大火伤,pic_skill_dbf_01,,,,0,11,,,,2,1,,1,15000,,AddEff 525,1
525,523,火种,1,0,当前生命减少4%/秒,pic_skill_dbf_09,,skill_debuf8,Bone100,0,11,,,,2,1,,5,1000,HPR-0.04,,1
526,8,束缚,1,0,束缚无法移动,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,4000,,,1
527,8,束缚,1,0,束缚无法移动,pic_skill_dbf_05,,skill_debuf2,root,0,11,,,StateMove 1;StateDodge 1,2,1,,1,6000,,,1
528,21,生命凋零,1,0,生命减少1%/2秒,pic_skill_mjz_22,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,HPR-0.01,,1
529,529,法力凋零,1,0,法力减少4%/2秒,pic_skill_hjl_14,,skill_debuf8,Bone100,0,11,,,,2,1,,5,2000,HPR-0.04,,1
530,503,缓速,1,0,降低移动速度30%,pic_skill_dbf_04,,skill_debuf6,root,0,11,,,SpeedMoveR-0.3,2,1,,1,15000,,,1
531,531,愈合,1,0,恢复生命1%/3秒,pic_skill_pet_19c,,skill_buf7,root,0,28,,,,1,1,,7,3000,AddCutMaxHP+0.01,,1
532,531,愈合,1,0,恢复生命1%/2秒,pic_skill_pet_19b,,skill_buf7,root,0,28,,,,1,1,,10,2000,AddCutMaxHP+0.01,,1
533,531,愈合,1,0,恢复生命1%/1秒,pic_skill_pet_19a,,skill_buf7,root,0,28,,,,1,1,,20,1000,AddCutMaxHP+0.01,,1
534,531,愈合,1,0,恢复生命1%/1秒,pic_skill_pet_19s,,skill_buf7,root,0,28,,,,1,1,,20,1000,AddCutMaxHP+0.01,,1
535,535,通灵,1,0,恢复法力2%/3秒,pic_skill_pet_20c,,skill_buf2,root,0,28,,,,1,1,,7,3000,AddCutMaxMP+0.02,,1
536,535,通灵,1,0,恢复法力2%/2秒,pic_skill_pet_20b,,skill_buf2,root,0,28,,,,1,1,,10,2000,AddCutMaxMP+0.02,,1
537,535,通灵,1,0,恢复法力2%/1秒,pic_skill_pet_20a,,skill_buf2,root,0,28,,,,1,1,,20,1000,AddCutMaxMP+0.02,,1
538,535,通灵,1,0,恢复法力2%/1秒,pic_skill_pet_20s,,skill_buf2,root,0,28,,,,1,1,,20,1000,AddCutMaxMP+0.02,,1
539,539,杀神,1,0,物伤增加15%,pic_skill_pet_21c,,,,0,28,,,DamageMaxR+0.15;DamageMinR+0.15,1,1,,1,120000,,,1
540,539,杀神,1,0,物伤增加20%,pic_skill_pet_21b,,,,0,28,,,DamageMaxR+0.2;DamageMinR+0.2,1,1,,1,120000,,,1
541,539,杀神,1,0,物伤增加25%,pic_skill_pet_21a,,,,0,28,,,DamageMaxR+0.25;DamageMinR+0.25,1,1,,1,120000,,,1
542,539,杀神,1,0,物伤增加25%,pic_skill_pet_21s,,,,0,29,,,DamageMaxR+0.25;DamageMinR+0.25,1,1,,1,120000,,,1
543,543,火神,1,0,火伤增加15%,pic_skill_pet_22c,,,,0,28,,,FireDmR+0.15,1,1,,1,120000,,,1
544,543,火神,1,0,火伤增加20%,pic_skill_pet_22b,,,,0,28,,,FireDmR+0.2,1,1,,1,120000,,,1
545,543,火神,1,0,火伤增加25%,pic_skill_pet_22a,,,,0,28,,,FireDmR+0.25,1,1,,1,120000,,,1
546,543,火神,1,0,火伤增加25%,pic_skill_pet_22s,,,,0,29,,,FireDmR+0.25,1,1,,1,120000,,,1
547,547,水神,1,0,水伤增加15%,pic_skill_pet_23c,,,,0,28,,,WaterDmR+0.15,1,1,,1,120000,,,1
548,547,水神,1,0,水伤增加20%,pic_skill_pet_23b,,,,0,28,,,WaterDmR+0.2,1,1,,1,120000,,,1
549,547,水神,1,0,水伤增加25%,pic_skill_pet_23a,,,,0,28,,,WaterDmR+0.25,1,1,,1,120000,,,1
550,547,水神,1,0,水伤增加25%,pic_skill_pet_23s,,,,0,29,,,WaterDmR+0.25,1,1,,1,120000,,,1
551,551,毒神,1,0,毒伤增加15%,pic_skill_pet_24c,,,,0,28,,,PoisonDmR+0.15,1,1,,1,120000,,,1
552,551,毒神,1,0,毒伤增加20%,pic_skill_pet_24b,,,,0,28,,,PoisonDmR+0.2,1,1,,1,120000,,,1
553,551,毒神,1,0,毒伤增加25%,pic_skill_pet_24a,,,,0,28,,,PoisonDmR+0.25,1,1,,1,120000,,,1
554,551,毒神,1,0,毒伤增加25%,pic_skill_pet_24s,,,,0,29,,,PoisonDmR+0.25,1,1,,1,120000,,,1
555,555,龟甲,1,0,物防增加20%,pic_skill_pet_25c,,,,0,28,,,PhyArR+0.2,1,1,,1,120000,,,1
556,555,龟甲,1,0,物防增加25%,pic_skill_pet_25b,,,,0,28,,,PhyArR+0.25,1,1,,1,120000,,,1
557,555,龟甲,1,0,物防增加30%,pic_skill_pet_25a,,,,0,28,,,PhyArR+0.3,1,1,,1,120000,,,1
558,555,龟甲,1,0,物防增加30%,pic_skill_pet_25s,,,,0,29,,,PhyArR+0.3,1,1,,1,120000,,,1
559,559,火盾,1,0,火防增加20%,pic_skill_pet_26c,,,,0,28,,,FireArR+0.2,1,1,,1,120000,,,1
560,559,火盾,1,0,火防增加25%,pic_skill_pet_26b,,,,0,28,,,FireArR+0.25,1,1,,1,120000,,,1
561,559,火盾,1,0,火防增加30%,pic_skill_pet_26a,,,,0,28,,,FireArR+0.3,1,1,,1,120000,,,1
562,559,火盾,1,0,火防增加30%,pic_skill_pet_26s,,,,0,29,,,FireArR+0.3,1,1,,1,120000,,,1
563,563,水镜,1,0,水防增加20%,pic_skill_pet_27c,,,,0,28,,,WaterArR+0.2,1,1,,1,120000,,,1
564,563,水镜,1,0,水防增加25%,pic_skill_pet_27b,,,,0,28,,,WaterArR+0.25,1,1,,1,120000,,,1
565,563,水镜,1,0,水防增加30%,pic_skill_pet_27a,,,,0,28,,,WaterArR+0.3,1,1,,1,120000,,,1
566,563,水镜,1,0,水防增加30%,pic_skill_pet_27s,,,,0,29,,,WaterArR+0.3,1,1,,1,120000,,,1
567,567,毒体,1,0,毒防增加20%,pic_skill_pet_28c,,,,0,28,,,PoisonArR+0.2,1,1,,1,120000,,,1
568,567,毒体,1,0,毒防增加25%,pic_skill_pet_28b,,,,0,28,,,PoisonArR+0.25,1,1,,1,120000,,,1
569,567,毒体,1,0,毒防增加30%,pic_skill_pet_28a,,,,0,28,,,PoisonArR+0.3,1,1,,1,120000,,,1
570,567,毒体,1,0,毒防增加30%,pic_skill_pet_28s,,,,0,29,,,PoisonArR+0.3,1,1,,1,120000,,,1
571,571,疯狂,1,0,物伤增加30%,pic_skill_pet_29c,,,,0,28,,,DamageMaxR+0.3;DamageMinR+0.3,1,1,,1,15000,,,1
572,571,疯狂,1,0,物伤增加40%,pic_skill_pet_29b,,,,0,28,,,DamageMaxR+0.4;DamageMinR+0.4,1,1,,1,15000,,,1
573,571,疯狂,1,0,物伤增加50%,pic_skill_pet_29a,,,,0,28,,,DamageMaxR+0.5;DamageMinR+0.5,1,1,,1,15000,,,1
574,571,疯狂,1,0,生命减少2%/秒，物伤增加50%,pic_skill_pet_29s,,,,0,28,,,DamageMaxR+0.5;DamageMinR+0.5,1,1,,15,1000,HPR-0.02,,1
575,575,逆转乾坤,1,0,20%伤害反弹给对方,pic_skill_pet_30c,,,,0,28,,,ReboundHurtR 20 1,1,1,,1,30000,,,1
576,575,逆转乾坤,1,0,25%伤害反弹给对方,pic_skill_pet_30b,,,,0,28,,,ReboundHurtR 25 1,1,1,,1,30000,,,1
577,575,逆转乾坤,1,0,30%伤害反弹给对方,pic_skill_pet_30a,,,,0,28,,,ReboundHurtR 30 1,1,1,,1,30000,,,1
578,575,逆转乾坤,1,0,45%伤害反弹给对方,pic_skill_pet_30s,,,,0,28,,,ReboundHurtR 45 1,1,1,,1,30000,,,1
579,579,初级舍身救主,1,0,5秒内恢复主人30%生命。,pic_skill_pet_31c,,,,0,26,,,,1,1,,5,1000,AddCutMaxHP+0.06,,1
580,579,中级舍身救主,1,0,5秒内恢复主人40%生命。,pic_skill_pet_31b,,,,0,26,,,,1,1,,5,1000,AddCutMaxHP+0.08,,1
581,579,高级舍身救主,1,0,5秒内恢复主人50%生命。,pic_skill_pet_31a,,,,0,26,,,,1,1,,5,1000,AddCutMaxHP+0.1,,1
582,579,超级舍身救主,1,0,5秒内恢复主人50%生命并额外瞬间恢复10%。,pic_skill_pet_31s,,,,0,26,,,,1,1,,5,1000,AddCutMaxHP+0.1,,1
583,583,初级精神燃烧,1,0,5秒内恢复主人30%法力。,pic_skill_pet_32c,,,,0,26,,,,1,1,,5,1000,AddCutMaxMP+0.06,,1
584,583,中级精神燃烧,1,0,5秒内恢复主人40%法力。,pic_skill_pet_32b,,,,0,26,,,,1,1,,5,1000,AddCutMaxMP+0.08,,1
585,583,高级精神燃烧,1,0,5秒内恢复主人50%法力。,pic_skill_pet_32a,,,,0,26,,,,1,1,,5,1000,AddCutMaxMP+0.1,,1
586,583,超级精神燃烧,1,0,5秒内恢复主人50%法力并额外瞬间恢复10%。,pic_skill_pet_32s,,,,0,26,,,,1,1,,5,1000,AddCutMaxMP+0.1,,1
587,587,初级衰老种子,1,0,命中后20秒爆发，所有属性减少10%持续15秒,pic_skill_pet_33c,,,,0,11,,,,2,1,,1,20000,,AddEff 588,1
588,588,虚弱,1,0,所有属性减少10%,pic_skill_dbf_23,,,,0,,,,DamageMaxR-0.1;DamageMinR-0.1;FireDmR-0.1;WaterDmR-0.1;PoisonDmR-0.1;PhyAbR-0.1;FireAbR-0.1;WaterAbR-0.1;PoisonAbR-0.1;MaxHPR-0.1;MaxMPR-0.1;AttackRateR-0.1;DodgeR-0.1,2,1,,1,15000,,,1
589,587,中级衰老种子,1,0,命中后20秒爆发，所有属性减少15%持续15秒,pic_skill_pet_33b,,,,0,11,,,,2,1,,1,20000,,AddEff 590,1
590,588,虚弱,1,0,所有属性减少15%,pic_skill_dbf_23,,,,0,,,,DamageMaxR-0.15;DamageMinR-0.15;FireDmR-0.15;WaterDmR-0.15;PoisonDmR-0.15;PhyAbR-0.15;FireAbR-0.15;WaterAbR-0.15;PoisonAbR-0.15;MaxHPR-0.15;MaxMPR-0.15;AttackRateR-0.15;DodgeR-0.15,2,1,,1,15000,,,1
591,587,高级衰老种子,1,0,命中后20秒爆发，所有属性减少20%持续15秒,pic_skill_pet_33a,,,,0,11,,,,2,1,,1,20000,,AddEff 592,1
592,588,虚弱,1,0,所有属性减少20%,pic_skill_dbf_23,,,,0,,,,DamageMaxR-0.2;DamageMinR-0.2;FireDmR-0.2;WaterDmR-0.2;PoisonDmR-0.2;PhyAbR-0.2;FireAbR-0.2;WaterAbR-0.2;PoisonAbR-0.2;MaxHPR-0.2;MaxMPR-0.2;AttackRateR-0.2;DodgeR-0.2,2,1,,1,15000,,,1
593,587,超级衰老种子,1,0,命中后10秒爆发，所有属性减少20%持续15秒,pic_skill_pet_33s,,,,0,11,,,,2,1,,1,10000,,AddEff 594,1
594,588,虚弱,1,0,所有属性减少20%,pic_skill_dbf_23,,,,0,,,,DamageMaxR-0.2;DamageMinR-0.2;FireDmR-0.2;WaterDmR-0.2;PoisonDmR-0.2;PhyAbR-0.2;FireAbR-0.2;WaterAbR-0.2;PoisonAbR-0.2;MaxHPR-0.2;MaxMPR-0.2;AttackRateR-0.2;DodgeR-0.2,2,1,,1,15000,,,1
595,595,初级破坏种子,1,0,命中后20秒爆发，每2秒减少生命1%持续20秒,pic_skill_pet_34c,,,,0,11,,,,2,1,,1,20000,,AddEff 596,1
596,596,生命凋零,1,0,每2秒减少生命1%,pic_skill_mjz_22,,,,0,,,,,2,1,,10,2000,HPR-0.01,,1
597,595,中级破坏种子,1,0,命中后20秒爆发，每2秒减少生命2%持续20秒,pic_skill_pet_34b,,,,0,11,,,,2,1,,1,20000,,AddEff 598,1
598,596,生命凋零,1,0,每2秒减少生命2%,pic_skill_mjz_22,,,,0,,,,,2,1,,10,2000,HPR-0.02,,1
599,595,高级破坏种子,1,0,命中后20秒爆发，每2秒减少生命3%持续20秒,pic_skill_pet_34a,,,,0,11,,,,2,1,,1,20000,,AddEff 600,1
600,596,生命凋零,1,0,每2秒减少生命3%,pic_skill_mjz_22,,,,0,,,,,2,1,,10,2000,HPR-0.03,,1
601,595,超级破坏种子,1,0,命中后10秒爆发，每2秒减少生命3%持续20秒,pic_skill_pet_34s,,,,0,11,,,,2,1,,1,10000,,AddEff 602,1
602,596,生命凋零,1,0,每2秒减少生命3%,pic_skill_mjz_22,,,,0,,,,,2,1,,10,2000,HPR-0.03,,1
603,603,初级迟钝种子,1,0,命中后20秒爆发，减少移动和攻击速度15%持续15秒。,pic_skill_pet_35c,,,,0,11,,,,2,1,,1,20000,,AddEff 604,1
604,16,迟钝,1,0,减少移动和攻击速度15%,pic_skill_dbf_12,,,,0,,,,SpeedMoveR-0.15;SpeedAttackR-0.15,2,1,,1,15000,,,1
605,603,中级迟钝种子,1,0,命中后20秒爆发，减少移动和攻击速度20%持续15秒。,pic_skill_pet_35b,,,,0,11,,,,2,1,,1,20000,,AddEff 606,1
606,16,迟钝,1,0,减少移动和攻击速度20%,pic_skill_dbf_12,,,,0,,,,SpeedMoveR-0.2;SpeedAttackR-0.2,2,1,,1,15000,,,1
