,,,,基本属性,,,,,,,,,条件,,,,,,施放,,,,,,,,,,,,,,,,,飞行,,,,攻击,,,,,,,,,受击,,,,,,,,,,,,,,,,,,,      ,,,,
2670,化影风行,70,4,100,1,5,0,Metier=2;MetierLev>=0;Level>=1,,使花弄影释放瞬间增加生命5%,"<P><FONT color=""#88aadd"">作用目标：花弄影</FONT></P><P><FONT color=""#88aadd"">化影时汇聚治愈之风滋润自身。</FONT></P>",pic_skill_hjl_10,,,Level>=20;Metier=2;NeedSP 4 14;Need 2635;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddCutMaxHP+0.05,,,,,,,,,,,,,,,,,
2671,化影风行,70,4,100,2,5,0,Metier=2;MetierLev>=0;Level>=1,,使花弄影释放瞬间增加生命10%,"<P><FONT color=""#88aadd"">作用目标：花弄影</FONT></P><P><FONT color=""#88aadd"">化影时汇聚治愈之风滋润自身。</FONT></P>",pic_skill_hjl_10,,,Level>=25;Metier=2;NeedSP 4 14;Need 2635;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddCutMaxHP+0.10,,,,,,,,,,,,,,,,,
2672,化影风行,70,4,100,3,5,0,Metier=2;MetierLev>=0;Level>=1,,使花弄影释放瞬间增加生命15%,"<P><FONT color=""#88aadd"">作用目标：花弄影</FONT></P><P><FONT color=""#88aadd"">化影时汇聚治愈之风滋润自身。</FONT></P>",pic_skill_hjl_10,,,Level>=30;Metier=2;NeedSP 4 14;Need 2635;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddCutMaxHP+0.15,,,,,,,,,,,,,,,,,
2673,化影风行,70,4,100,4,5,0,Metier=2;MetierLev>=0;Level>=1,,使花弄影释放瞬间增加生命20%,"<P><FONT color=""#88aadd"">作用目标：花弄影</FONT></P><P><FONT color=""#88aadd"">化影时汇聚治愈之风滋润自身。</FONT></P>",pic_skill_hjl_10,,,Level>=35;Metier=2;NeedSP 4 14;Need 2635;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddCutMaxHP+0.20,,,,,,,,,,,,,,,,,
2674,化影风行,70,4,100,5,5,0,Metier=2;MetierLev>=0;Level>=1,,使花弄影释放瞬间增加生命25%,"<P><FONT color=""#88aadd"">作用目标：花弄影</FONT></P><P><FONT color=""#88aadd"">化影时汇聚治愈之风滋润自身。</FONT></P>",pic_skill_hjl_10,,,Level>=40;Metier=2;NeedSP 4 14;Need 2635;,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AddCutMaxHP+0.25,,,,,,,,,,,,,,,,,
2675,兰芷芳馨,71,4,0,1,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前生命的10%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">蕙质兰心芳香四溢，宜人心脾，滋润心身。</FONT></P>",pic_skill_hjl_11,84,WeaponEquiped=1;WeaponType&8,Level>=40;Metier=2;NeedSP 4 34;,1,,,16,0,200,1,1000,2000,skill_s5,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit29,root,,,,,,Hprelay+10,,,,,,,,,,,,,,,,
2676,兰芷芳馨,71,4,0,2,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前生命的15%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">蕙质兰心芳香四溢，宜人心脾，滋润心身。</FONT></P>",pic_skill_hjl_11,92,WeaponEquiped=1;WeaponType&8,Level>=45;Metier=2;NeedSP 4 34;,1,,,16,0,200,1,1000,2000,skill_s5,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit29,root,,,,,,Hprelay+15,,,,,,,,,,,,,,,,
2677,兰芷芳馨,71,4,0,3,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前生命的20%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">蕙质兰心芳香四溢，宜人心脾，滋润心身。</FONT></P>",pic_skill_hjl_11,101,WeaponEquiped=1;WeaponType&8,Level>=50;Metier=2;NeedSP 4 34;,1,,,16,0,200,1,1000,2000,skill_s5,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit29,root,,,,,,Hprelay+20,,,,,,,,,,,,,,,,
2678,兰芷芳馨,71,4,0,4,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前生命的25%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">蕙质兰心芳香四溢，宜人心脾，滋润心身。</FONT></P>",pic_skill_hjl_11,109,WeaponEquiped=1;WeaponType&8,Level>=55;Metier=2;NeedSP 4 34;,1,,,16,0,200,1,1000,2000,skill_s5,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit29,root,,,,,,Hprelay+25,,,,,,,,,,,,,,,,
2679,兰芷芳馨,71,4,0,5,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前生命的30%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">蕙质兰心芳香四溢，宜人心脾，滋润心身。</FONT></P>",pic_skill_hjl_11,118,WeaponEquiped=1;WeaponType&8,Level>=60;Metier=2;NeedSP 4 34;,1,,,16,0,200,1,1000,2000,skill_s5,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit29,root,,,,,,Hprelay+30,,,,,,,,,,,,,,,,
2680,虹霓追汐,72,4,0,1,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害539，并将伤害的10%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,84,WeaponEquiped=1;WeaponType&8,Level>=40;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+10;DamageMax+592;DamageMin+485;AttackRate+18,,,,,,,,,,,,,,,,,,,
2681,虹霓追汐,72,4,0,2,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害618，并将伤害的15%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,92,WeaponEquiped=1;WeaponType&8,Level>=45;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+15;DamageMax+679;DamageMin+556;AttackRate+28,,,,,,,,,,,,,,,,,,,
2682,虹霓追汐,72,4,0,3,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害745，并将伤害的20%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,101,WeaponEquiped=1;WeaponType&8,Level>=50;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+20;DamageMax+819;DamageMin+670;AttackRate+38,,,,,,,,,,,,,,,,,,,
2683,虹霓追汐,72,4,0,4,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害840，并将伤害的25%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,109,WeaponEquiped=1;WeaponType&8,Level>=55;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+25;DamageMax+924;DamageMin+756;AttackRate+48,,,,,,,,,,,,,,,,,,,
2684,虹霓追汐,72,4,0,5,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害939，并将伤害的30%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,118,WeaponEquiped=1;WeaponType&8,Level>=60;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+30;DamageMax+1032;DamageMin+845;AttackRate+58,,,,,,,,,,,,,,,,,,,
2685,虹霓追汐,72,4,0,6,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1044，并将伤害的35%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,126,WeaponEquiped=1;WeaponType&8,Level>=65;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+35;DamageMax+1148;DamageMin+939;AttackRate+68,,,,,,,,,,,,,,,,,,,
2686,虹霓追汐,72,4,0,7,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1153，并将伤害的40%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,135,WeaponEquiped=1;WeaponType&8,Level>=70;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+40;DamageMax+1268;DamageMin+1037;AttackRate+78,,,,,,,,,,,,,,,,,,,
2687,虹霓追汐,72,4,0,8,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1269，并将伤害的45%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,144,WeaponEquiped=1;WeaponType&8,Level>=75;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+45;DamageMax+1395;DamageMin+1142;AttackRate+88,,,,,,,,,,,,,,,,,,,
2688,虹霓追汐,72,4,0,9,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1530，并将伤害的50%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,152,WeaponEquiped=1;WeaponType&8,Level>=80;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+50;DamageMax+1683;DamageMin+1377;AttackRate+98,,,,,,,,,,,,,,,,,,,
2689,虹霓追汐,72,4,0,10,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1677，并将伤害的55%转化为自己的生命,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">白虹贯日霓裳劈炼，犹如朔水追汐，触礁不反。</FONT></P>",pic_skill_hjl_12,161,WeaponEquiped=1;WeaponType&8,Level>=85;Metier=2;NeedSP 4 34;Need 2675;,1,,,11,0,120,1,1500,30000,skill_s6,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit28,root,,,AbsorbHP+55;DamageMax+1844;DamageMin+1509;AttackRate+108,,,,,,,,,,,,,,,,,,,
2690,韶华如沐,73,4,0,1,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前法力的10%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">皓月之光犹如韶华，莹莹洒洒有如香沐，甘霖不可方物。</FONT></P>",pic_skill_hjl_13,101,WeaponEquiped=1;WeaponType&8,Level>=50;Metier=2;NeedSP 4 44;,1,,,16,0,200,1,1000,30000,skill_s7,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit30,root,,,,,,Mprelay+10,,,,,,,,,,,,,,,,
2691,韶华如沐,73,4,0,2,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前法力的15%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">皓月之光犹如韶华，莹莹洒洒有如香沐，甘霖不可方物。</FONT></P>",pic_skill_hjl_13,109,WeaponEquiped=1;WeaponType&8,Level>=55;Metier=2;NeedSP 4 44;,1,,,16,0,200,1,1000,30000,skill_s7,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit30,root,,,,,,Mprelay+15,,,,,,,,,,,,,,,,
2692,韶华如沐,73,4,0,3,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前法力的20%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">皓月之光犹如韶华，莹莹洒洒有如香沐，甘霖不可方物。</FONT></P>",pic_skill_hjl_13,118,WeaponEquiped=1;WeaponType&8,Level>=60;Metier=2;NeedSP 4 44;,1,,,16,0,200,1,1000,30000,skill_s7,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit30,root,,,,,,Mprelay+20,,,,,,,,,,,,,,,,
2693,韶华如沐,73,4,0,4,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前法力的25%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">皓月之光犹如韶华，莹莹洒洒有如香沐，甘霖不可方物。</FONT></P>",pic_skill_hjl_13,126,WeaponEquiped=1;WeaponType&8,Level>=65;Metier=2;NeedSP 4 44;,1,,,16,0,200,1,1000,30000,skill_s7,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit30,root,,,,,,Mprelay+25,,,,,,,,,,,,,,,,
2694,韶华如沐,73,4,0,5,5,0,Metier=2;MetierLev>=1;Level>=1,,将自己当前法力的30%传递给队友,"<P><FONT color=""#88aadd"">作用目标：己方单体</FONT></P><P><FONT color=""#88aadd"">皓月之光犹如韶华，莹莹洒洒有如香沐，甘霖不可方物。</FONT></P>",pic_skill_hjl_13,135,WeaponEquiped=1;WeaponType&8,Level>=70;Metier=2;NeedSP 4 44;,1,,,16,0,200,1,1000,30000,skill_s7,,shit,,,,,,,,,0,,,,16,0,,,0,,,,0,skill_hit30,root,,,,,,Mprelay+30,,,,,,,,,,,,,,,,
2695,残霓嗤月,74,4,0,1,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害539，并将伤害的10%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,101,WeaponEquiped=1;WeaponType&8,Level>=50;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+10;DamageMax+592;DamageMin+485;AttackRate+18,,,,,,,,,,,,,,,,,,,
2696,残霓嗤月,74,4,0,2,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害618，并将伤害的15%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,109,WeaponEquiped=1;WeaponType&8,Level>=55;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+15;DamageMax+679;DamageMin+556;AttackRate+28,,,,,,,,,,,,,,,,,,,
2697,残霓嗤月,74,4,0,3,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害745，并将伤害的20%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,118,WeaponEquiped=1;WeaponType&8,Level>=60;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+20;DamageMax+819;DamageMin+670;AttackRate+38,,,,,,,,,,,,,,,,,,,
2698,残霓嗤月,74,4,0,4,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害840，并将伤害的25%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,126,WeaponEquiped=1;WeaponType&8,Level>=65;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+25;DamageMax+924;DamageMin+756;AttackRate+48,,,,,,,,,,,,,,,,,,,
2699,残霓嗤月,74,4,0,5,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害939，并将伤害的30%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,135,WeaponEquiped=1;WeaponType&8,Level>=70;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+30;DamageMax+1032;DamageMin+845;AttackRate+58,,,,,,,,,,,,,,,,,,,
2700,残霓嗤月,74,4,0,6,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1044，并将伤害的35%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,144,WeaponEquiped=1;WeaponType&8,Level>=75;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+35;DamageMax+1148;DamageMin+939;AttackRate+68,,,,,,,,,,,,,,,,,,,
2701,残霓嗤月,74,4,0,7,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1153，并将伤害的40%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,152,WeaponEquiped=1;WeaponType&8,Level>=80;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+40;DamageMax+1268;DamageMin+1037;AttackRate+78,,,,,,,,,,,,,,,,,,,
2702,残霓嗤月,74,4,0,8,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1269，并将伤害的45%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,161,WeaponEquiped=1;WeaponType&8,Level>=85;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+45;DamageMax+1395;DamageMin+1142;AttackRate+88,,,,,,,,,,,,,,,,,,,
2703,残霓嗤月,74,4,0,9,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1530，并将伤害的50%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,169,WeaponEquiped=1;WeaponType&8,Level>=90;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+50;DamageMax+1683;DamageMin+1377;AttackRate+98,,,,,,,,,,,,,,,,,,,
2704,残霓嗤月,74,4,0,10,10,0,Metier=2;MetierLev>=1;Level>=1,,对敌人造成物理伤害1677，并将伤害的55%转化为自己的法力,"<P><FONT color=""#88aadd"">作用目标：敌方单体</FONT></P><P><FONT color=""#88aadd"">霓裳羽翼断箜篌，残花落尽噬月华，恩泽幕天下。</FONT></P>",pic_skill_hjl_14,178,WeaponEquiped=1;WeaponType&8,Level>=95;Metier=2;NeedSP 4 44;Need 2690;,1,,,11,0,120,1,1500,30000,skill_s8,,shit,,,,,,,,,0,,,,11,0,,,1,1,0,,0,skill_hit27,root,,,AbsorbMP+55;DamageMax+1844;DamageMin+1509;AttackRate+108,,,,,,,,,,,,,,,,,,,
2705,飞琼戏五音,75,4,0,1,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.6，20%概率附加昏睡3秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,118,WeaponEquiped=1;WeaponType&8,Level>=60;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.6;DamageMinR-0.6;AttackRate+18,,,,20,,,AddEff 3175,,,,,,,80;81,,,,,
2706,飞琼戏五音,75,4,0,2,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.6，20%概率附加昏睡4秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,126,WeaponEquiped=1;WeaponType&8,Level>=65;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.6;DamageMinR-0.6;AttackRate+28,,,,20,,,AddEff 3175,,,,,,,80;81,,,,,
2707,飞琼戏五音,75,4,0,3,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.6，20%概率附加昏睡5秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,135,WeaponEquiped=1;WeaponType&8,Level>=70;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.6;DamageMinR-0.6;AttackRate+38,,,,20,,,AddEff 3176,,,,,,,80;81,,,,,
2708,飞琼戏五音,75,4,0,4,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.55，20%概率附加昏睡6秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,144,WeaponEquiped=1;WeaponType&8,Level>=75;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.55;DamageMinR-0.55;AttackRate+48,,,,20,,,AddEff 3176,,,,,,,80;81,,,,,
2709,飞琼戏五音,75,4,0,5,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.55，20%概率附加昏睡7秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,152,WeaponEquiped=1;WeaponType&8,Level>=80;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.55;DamageMinR-0.55;AttackRate+58,,,,20,,,AddEff 3177,,,,,,,80;81,,,,,
2710,飞琼戏五音,75,4,0,6,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.55，20%概率附加昏睡8秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,161,WeaponEquiped=1;WeaponType&8,Level>=85;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.55;DamageMinR-0.55;AttackRate+68,,,,20,,,AddEff 3177,,,,,,,80;81,,,,,
2711,飞琼戏五音,75,4,0,7,10,0,Metier=2;MetierLev>=1;Level>=1,,群体物理伤害，物伤加成=-0.5，20%概率附加昏睡9秒，8次伤害,"<P><FONT color=""#88aadd"">作用目标：以目标为中心的敌方群体</FONT></P><P><FONT color=""#88aadd"">飞琼本是天上仙，落入风华尘世间，舞袖轻风琼楼宇，弄戏五音天外玄。</FONT></P>",pic_skill_hjl_15,169,WeaponEquiped=1;WeaponType&8,Level>=90;Metier=2;NeedSP 4 54;,1,,,11,0,120,8,3000,15000,skill_s9,,shit,,,,,,,,,0,,,,11,1,4,160,1,1,0,,0,skill_hit11,root,,,DamageMaxR-0.5;DamageMinR-0.5;AttackRate+78,,,,20,,,AddEff 3178,,,,,,,80;81,,,,,
