ID,合成类型,成品,名字,等级,技能等级,材料,材料数量,幸运石,说明,白色几率,绿色几率,蓝色几率,金色几率,失败几率,失败产品,强化概率,需求银币
2044,4,2044,青雾玉带  需要铸甲术：4级,15,4,7204;7604,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,270
2045,4,2045,五行腰带  需要铸甲术：5级,20,5,7205;7605,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2046,4,2046,至尊腰带  需要铸甲术：6级,25,6,7206;7606,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2700
2047,4,2047,穿云腰带  需要铸甲术：7级,30,7,7207;7607,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2048,4,2048,妙意圣心腰带  需要铸甲术：8级,35,8,7208;7608,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2049,4,2049,炁源苍生腰带  需要铸甲术：9级,40,9,7209;7609,13;13,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5400
2050,4,2050,天吾合一腰带  需要铸甲术：10级,45,10,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2051,4,2051,乾坤纳怀腰带  需要铸甲术：11级,50,11,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10800
2061,4,2061,修行绑腿  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,25
2062,4,2062,粗布绑腿  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,50
2063,4,2063,绵缎鞋  需要铸甲术：3级,10,3,7203;7603,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,100
2064,4,2064,青雾履  需要铸甲术：4级,15,4,7204;7604,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,300
2065,4,2065,五行鞋  需要铸甲术：5级,20,5,7205;7605,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2000
2066,4,2066,至尊必履  需要铸甲术：6级,25,6,7206;7606,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2067,4,2067,穿云护腿  需要铸甲术：7级,30,7,7207;7607,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4000
2068,4,2068,妙意圣心履  需要铸甲术：8级,35,8,7208;7608,14;14,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5000
2069,4,2069,炁源苍生履  需要铸甲术：9级,40,9,7209;7609,16;16,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2070,4,2070,天吾合一靴  需要铸甲术：10级,45,10,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,8000
2071,4,2071,乾坤纳怀靴  需要铸甲术：11级,50,11,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2201,4,2201,轻便紧身衣  需要铸甲术：1级,1,1,7201;7601,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,37
2202,4,2202,如雪袍  需要铸甲术：2级,5,2,7202;7602,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,75
2203,4,2203,七彩衣  需要铸甲术：3级,10,3,7203;7603,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,150
2204,4,2204,紫霓云裳  需要铸甲术：4级,15,4,7204;7604,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,450
2205,4,2205,柔水天衣  需要铸甲术：5级,20,5,7205;7605,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2206,4,2206,苍泉衣  需要铸甲术：6级,25,6,7206;7606,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2207,4,2207,虹之缘衣  需要铸甲术：7级,30,7,7207;7607,21;21,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2208,4,2208,揽月短衣  需要铸甲术：8级,35,8,7208;7608,24;24,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7500
2209,4,2209,哀之红尘短袍  需要铸甲术：9级,40,9,7209;7609,27;27,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9000
2210,4,2210,虚雾短袍  需要铸甲术：10级,45,10,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2211,4,2211,花间无尘衣  需要铸甲术：11级,50,11,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,18000
2221,4,2221,轻便护手  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,15
2222,4,2222,如雪护手  需要铸甲术：2级,5,2,7202;7602,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,30
2223,4,2223,七彩护手  需要铸甲术：3级,10,3,7203;7603,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,60
2224,4,2224,紫霓护手  需要铸甲术：4级,15,4,7204;7604,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
2225,4,2225,柔水护手  需要铸甲术：5级,20,5,7205;7605,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1200
2226,4,2226,苍泉护手  需要铸甲术：6级,25,6,7206;7606,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2227,4,2227,虹之缘护手  需要铸甲术：7级,30,7,7207;7607,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2400
2228,4,2228,揽月护腕  需要铸甲术：8级,35,8,7208;7608,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2229,4,2229,哀之红尘护手  需要铸甲术：9级,40,9,7209;7609,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2230,4,2230,虚雾护手  需要铸甲术：10级,45,10,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4800
2231,4,2231,花间无尘护手  需要铸甲术：11级,50,11,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2241,4,2241,轻便腰带  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,22
2242,4,2242,如雪丝带  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,45
2243,4,2243,七彩腰带  需要铸甲术：3级,10,3,7203;7603,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
2244,4,2244,紫霓玉带  需要铸甲术：4级,15,4,7204;7604,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,270
2245,4,2245,柔水腰带  需要铸甲术：5级,20,5,7205;7605,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2246,4,2246,苍泉腰带  需要铸甲术：6级,25,6,7206;7606,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2700
2247,4,2247,虹之缘腰带  需要铸甲术：7级,30,7,7207;7607,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2248,4,2248,揽月腰带  需要铸甲术：8级,35,8,7208;7608,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2249,4,2249,哀之红尘腰带  需要铸甲术：9级,40,9,7209;7609,13;13,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5400
2250,4,2250,虚雾腰带  需要铸甲术：10级,45,10,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2251,4,2251,花间无尘腰带  需要铸甲术：11级,50,11,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10800
2261,4,2261,轻便绑腿  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,25
2262,4,2262,如雪绑腿  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,50
2263,4,2263,七彩足衣  需要铸甲术：3级,10,3,7203;7603,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,100
2264,4,2264,紫霓鞋  需要铸甲术：4级,15,4,7204;7604,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,300
2265,4,2265,柔水履  需要铸甲术：5级,20,5,7205;7605,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2000
2266,4,2266,苍泉足衣  需要铸甲术：6级,25,6,7206;7606,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2267,4,2267,虹之缘足衣  需要铸甲术：7级,30,7,7207;7607,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4000
2268,4,2268,揽月护腿  需要铸甲术：8级,35,8,7208;7608,14;14,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5000
2269,4,2269,哀之红尘足衣  需要铸甲术：9级,40,9,7209;7609,16;16,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2270,4,2270,虚雾履  需要铸甲术：10级,45,10,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,8000
2271,4,2271,花间无尘足衣  需要铸甲术：11级,50,11,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2401,4,2401,青甲  需要铸甲术：1级,1,1,7201;7601,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,37
2402,4,2402,暗霜  需要铸甲术：2级,5,2,7202;7602,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,75
2403,4,2403,裂矢  需要铸甲术：3级,10,3,7203;7603,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,150
2404,4,2404,磐岩  需要铸甲术：4级,15,4,7204;7604,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,450
2405,4,2405,御虎  需要铸甲术：5级,20,5,7205;7605,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2406,4,2406,踏虚  需要铸甲术：6级,25,6,7206;7606,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2407,4,2407,雪魄凛  需要铸甲术：7级,30,7,7207;7607,21;21,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2408,4,2408,罡龙披靡  需要铸甲术：8级,35,8,7208;7608,24;24,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7500
2409,4,2409,赤神玄  需要铸甲术：9级,40,9,7209;7609,27;27,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,9000
2410,4,2410,护法神武  需要铸甲术：10级,45,10,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2411,4,2411,渡劫方舟  需要铸甲术：11级,50,11,7210;7610,30;30,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,18000
2421,4,2421,青甲护手  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,15
2422,4,2422,暗霜护腕  需要铸甲术：2级,5,2,7202;7602,2;2,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,30
2423,4,2423,裂矢手套  需要铸甲术：3级,10,3,7203;7603,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,60
2424,4,2424,磐岩护手  需要铸甲术：4级,15,4,7204;7604,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,180
2425,4,2425,御虎手套  需要铸甲术：5级,20,5,7205;7605,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1200
2426,4,2426,踏虚护腕  需要铸甲术：6级,25,6,7206;7606,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2427,4,2427,雪魄凛手甲  需要铸甲术：7级,30,7,7207;7607,8;8,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2400
2428,4,2428,罡龙披靡手套  需要铸甲术：8级,35,8,7208;7608,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2429,4,2429,赤神玄护腕  需要铸甲术：9级,40,9,7209;7609,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2430,4,2430,护法神武护手  需要铸甲术：10级,45,10,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4800
2431,4,2431,渡劫方舟护腕  需要铸甲术：11级,50,11,7210;7610,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2441,4,2441,青甲腰带  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,22
2442,4,2442,暗霜腰带  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,45
2443,4,2443,裂矢腰带  需要铸甲术：3级,10,3,7203;7603,4;4,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,90
2444,4,2444,磐岩腰带  需要铸甲术：4级,15,4,7204;7604,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,270
2445,4,2445,御虎腰带  需要铸甲术：5级,20,5,7205;7605,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,1800
2446,4,2446,踏虚腰带  需要铸甲术：6级,25,6,7206;7606,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2700
2447,4,2447,雪魄凛腰带  需要铸甲术：7级,30,7,7207;7607,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3600
2448,4,2448,罡龙披靡腰带  需要铸甲术：8级,35,8,7208;7608,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4500
2449,4,2449,赤神玄腰带  需要铸甲术：9级,40,9,7209;7609,13;13,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5400
2450,4,2450,护法神武腰带  需要铸甲术：10级,45,10,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,7200
2451,4,2451,渡劫方舟腰带  需要铸甲术：11级,50,11,7210;7610,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,10800
2461,4,2461,青甲靴  需要铸甲术：1级,1,1,7201;7601,1;1,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,25
2462,4,2462,暗霜靴  需要铸甲术：2级,5,2,7202;7602,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,50
2463,4,2463,裂矢靴  需要铸甲术：3级,10,3,7203;7603,5;5,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,100
2464,4,2464,磐岩靴  需要铸甲术：4级,15,4,7204;7604,7;7,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,300
2465,4,2465,御虎靴  需要铸甲术：5级,20,5,7205;7605,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,2000
2466,4,2466,踏虚靴  需要铸甲术：6级,25,6,7206;7606,10;10,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.35,0.12,0.07,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
2467,4,2467,雪魄凛靴  需要铸甲术：7级,30,7,7207;7607,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.32,0.12,0.06,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,4000
2468,4,2468,罡龙披靡靴  需要铸甲术：8级,35,8,7208;7608,14;14,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.29,0.12,0.05,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,5000
2469,4,2469,赤神玄靴  需要铸甲术：9级,40,9,7209;7609,16;16,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.26,0.12,0.04,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,6000
2470,4,2470,护法神武靴  需要铸甲术：10级,45,10,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.23,0.12,0.02,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,8000
2471,4,2471,渡劫方舟靴  需要铸甲术：11级,50,11,7210;7610,18;18,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.2,0.12,0,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,12000
2601,4,2601,清心短衣  需要铸甲术：1级,1,1,7201;7601,3;3,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.5,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,37
2602,4,2602,迷离披风  需要铸甲术：2级,5,2,7202;7602,6;6,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.47,0.12,0.1,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,75
2603,4,2603,古溯披肩  需要铸甲术：3级,10,3,7203;7603,9;9,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.44,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,150
2604,4,2604,碧水青云  需要铸甲术：4级,15,4,7204;7604,12;12,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.41,0.12,0.09,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,450
2605,4,2605,魔音缠身  需要铸甲术：5级,20,5,7205;7605,15;15,9002,幸运石为商城道具，使得制造出现强化等级的装备。,1,0.38,0.12,0.08,0.3,,0.5;0.8;0.95;0.99;0.995;0.998;1;1;1;1;1,3000
